# WFS, circular loudspeaker array, center listening position, speech
# stimuli, rating, 95%_confidence_interval
experiments/2015-10-01_wfs_coloration/brs/wfs_circular_center_ref.wav,       -0.9118,    0.0641
experiments/2015-10-01_wfs_coloration/brs/wfs_circular_center_stereo.wav,    -0.4889,    0.1948
experiments/2015-10-01_wfs_coloration/brs/wfs_circular_center_nls0014.wav,   -0.0558,    0.2083
experiments/2015-10-01_wfs_coloration/brs/wfs_circular_center_nls0028.wav,   -0.1402,    0.2176
experiments/2015-10-01_wfs_coloration/brs/wfs_circular_center_nls0056.wav,   -0.4882,    0.1478
experiments/2015-10-01_wfs_coloration/brs/wfs_circular_center_nls0112.wav,   -0.4136,    0.2215
experiments/2015-10-01_wfs_coloration/brs/wfs_circular_center_nls0224.wav,   -0.7068,    0.1239
experiments/2015-10-01_wfs_coloration/brs/wfs_circular_center_nls0448.wav,   -0.8621,    0.0824
experiments/2015-10-01_wfs_coloration/brs/wfs_circular_center_nls0896.wav,   -0.7680,    0.1422
experiments/2015-10-01_wfs_coloration/brs/wfs_circular_center_anchor.wav,     0.6618,    0.1643
